,h_mol,b_mol,ligand,reagent,solvent,rxn_yield
0,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[OH-].[Na+],MeCN,4.76410921845962
1,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,[OH-].[Na+],MeCN,4.12096203597114
2,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,[OH-].[Na+],MeCN,2.58383665286105
3,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,[OH-].[Na+],MeCN,4.44317065372505
4,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[OH-].[Na+],MeCN,1.94987400815928
5,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,[OH-].[Na+],MeCN,3.25080927899943
6,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[OH-].[Na+],MeCN,86.2621224841378
7,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],[OH-].[Na+],MeCN,7.54607987344501
8,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[OH-].[Na+],MeCN,93.6745145376158
9,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],[OH-].[Na+],MeCN,14.3214354734956
10,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,[OH-].[Na+],MeCN,2.10830716745609
11,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,[OH-].[Na+],MeCN,17.0852310620033
12,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[Na+].OC([O-])=O,MeCN,3.15768624811382
13,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,[Na+].OC([O-])=O,MeCN,4.75379053091498
14,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,[Na+].OC([O-])=O,MeCN,2.46181658212302
15,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,[Na+].OC([O-])=O,MeCN,5.26714086508017
16,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[Na+].OC([O-])=O,MeCN,1.95634116073256
17,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,[Na+].OC([O-])=O,MeCN,3.34705214713383
18,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[Na+].OC([O-])=O,MeCN,69.22093433688
