Unnamed: 0,Patent_ID,h_mol,b_mol,ligand,reagent,solvent,rxn_yield,mass_label
0,US05155117,Br[c:8]1[c:3]([C:1]#[N:2])[n:4][cH:5][cH:6][cH:7]1,OB(O)[c:13]1[cH:12][cH:11][c:10]([CH3:19])[cH:15][cH:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],CCO.Cc1ccccc1,34.0,1
1,US05278312,Cl[c:34]1[cH:35][cH:36][c:37]([CH:38]=[O:39])[cH:40][cH:41]1,OB([c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1)[c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1,65.0,1
2,US05278312,Br[c:34]1[cH:35][cH:36][cH:37][c:38]2[cH:39][cH:40][cH:41][cH:42][c:43]12,OB([c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1)[c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Cl-].[Na+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1,65.0,1
3,US05294716,Br[c:19]1[c:20](-[c:25]2[n:26][n:27][n:28][n:29]2-[c:30]2[cH:31][cH:32][c:33]([N+:36](=[O:37])[O-:38])[cH:34][cH:35]2)[cH:21][cH:22][cH:23][cH:24]1,OB(O)[c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:7][cH:6]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.Cc1ccccc1.CO,90.0,1
4,US05380742,Br[c:38]1[s:37][c:36]([Br:35])[c:40]2[c:39]1[CH2:43][N:42]([C:44](=[O:45])[O:46][C:47]([CH3:48])([CH3:49])[CH3:50])[CH2:41]2,OB(O)[c:1]1[cH:2][cH:3][cH:4][cH:5][cH:6]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.Cc1ccccc1,34.0,1
5,US05278312,Cl[c:34]1[cH:35][cH:36][c:37]([CH:38]=[O:39])[cH:40][cH:41]1,OB([c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1)[c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1,65.0,1
6,US05278312,Br[c:34]1[cH:35][cH:36][cH:37][c:38]2[cH:39][cH:40][cH:41][cH:42][c:43]12,OB([c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1)[c:18]1[c:19](-[c:24]2[n:25][n:26][n:27]([C:29]([CH3:30])([CH3:31])[CH3:32])[n:28]2)[cH:20][cH:21][cH:22][cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"[Cl-].[Na+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1,65.0,1
7,US05385692,Cl[c:20]1[n:21][cH:22][c:23]([C:24](=[O:25])[NH2:26])[cH:27][cH:28]1,OB(O)[c:12]1[cH:11][cH:10][c:9]2[c:14]([cH:13]1)[CH2:15][CH:7]([CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH3:6])[CH2:8]2,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO,92.2,1
8,US05385692,Br[c:35]1[cH:34][cH:33][c:32]([C@@H:29]2[CH2:28][CH2:27][C@@H:26]([CH2:21][CH2:22][CH2:23][CH2:24][CH3:25])[CH2:31][CH2:30]2)[cH:37][cH:36]1,OB(O)[c:14]1[cH:13][cH:12][c:11]2[c:16]([cH:15]1)[CH2:17][CH:9]([CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH3:8])[CH2:10]2,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCO.Cc1ccccc1,51.0,1
9,US05409920,Br[c:2]1[cH:3][n:4][cH:5][c:6]([Br:8])[cH:7]1,OB(O)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",CCOC(C)=O.CCO.Cc1ccccc1,28.0,1
